"{'Ca', 'C', 'H', 'N'}",1
"{'Sb', 'Ta', 'Li', 'Ba'}",1
"{'Li', 'Ce'}",2
"{'Sr', 'La', 'P', 'Ce'}",1
"{'Mg', 'Ba'}",2
"{'La', 'Nb', 'Na', 'K'}",1
"{'Sr', 'Ce', 'La'}",1
"{'C', 'Ba'}",1
"{'Gd', 'Cl', 'Ba'}",2
"{'Ca', 'Si'}",1
"{'Ca', 'Li', 'La', 'Sr', 'Fe', 'Ba'}",1
"{'Sr', 'Fe', 'Cr', 'La'}",1
"{'Sr', 'N', 'Al'}",1
"{'Zn', 'Na', 'N', 'Al'}",1
"{'Sr', 'Zr'}",2
"{'Zr', 'Ce'}",1
"{'Sr', 'Nb', 'K'}",1
"{'W', 'Na', 'Si', 'La', 'Mn'}",5
"{'Fe', 'H', 'C', 'Ce'}",1
"{'Mg', 'Li'}",31
"{'Ca', 'Yb'}",1
"{'Mn', 'Na'}",1
"{'Cl', 'Sm', 'K'}",1
{'La'},34
"{'Y', 'Zr', 'Ba'}",1
"{'Mg', 'Li', 'Zn'}",1
"{'W', 'Na', 'Si', 'Cl', 'K', 'Mn'}",1
"{'P', 'Si'}",1
"{'Fe', 'Mn', 'W', 'Na'}",3
"{'Mn', 'Ti', 'Ba'}",1
"{'Mn', 'Si', 'W', 'Cs'}",1
"{'W', 'Na', 'Si', 'C', 'Mn'}",9
"{'Sr', 'Ti', 'Ni'}",1
"{'Mn', 'Mg', 'Na'}",3
"{'Co', 'Sr', 'Fe', 'La', 'C'}",1
"{'Fe', 'C', 'Ce'}",1
"{'Nd', 'Mg', 'Ba', 'La'}",1
"{'Si', 'W', 'Ce', 'Na'}",1
"{'Ce', 'Zn'}",4
"{'Ca', 'La', 'Li', 'Fe'}",1
"{'Tb', 'Y', 'Dy', 'Li', 'Sm', 'Yb', 'Eu', 'Gd', 'Ho', 'Er'}",1
"{'Zr', 'Cl', 'Cs'}",1
"{'La', 'Li', 'Al'}",1
"{'Pt', 'Al'}",2
"{'La', 'Nb', 'K'}",1
"{'Si', 'C', 'Ba'}",1
"{'Ca', 'Ce'}",3
"{'La', 'Mn', 'Na'}",4
"{'W', 'Zr', 'Li', 'C', 'Ce'}",1
"{'Sr', 'Mg'}",1
"{'W', 'Na', 'Si', 'Cl', 'Mn'}",4
"{'Na', 'Al'}",1
"{'Zr', 'Cs', 'Ba', 'Mo'}",1
"{'W', 'K'}",1
{'W'},2
"{'Mn', 'W', 'Na'}",9
"{'W', 'Na', 'Si', 'Al', 'Mn'}",2
"{'Na', 'Si', 'C', 'Mn', 'P'}",1
"{'Si', 'Al'}",1
"{'K', 'Ni', 'Co', 'Al'}",2
"{'Li', 'Pb', 'C', 'K'}",1
"{'Ca', 'Mn', 'Ce'}",3
